Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.566,0.417,0.152,0.769,0.269,0.166,0.274,14
I,0.457,0.316,0.098,0.421,0.183,0.085,0.105,6
I,0.405,0.333,0.084,0.257,0.12,0.067,0.07,8
M,0.637,0.513,0.185,1.364,0.594,0.298,0.4,11
F,0.638,0.55,0.17,1.242,0.589,0.124,0.416,8
M,0.582,0.404,0.131,0.617,0.235,0.146,0.198,8
M,0.653,0.509,0.181,1.346,0.531,0.318,0.397,10
I,0.533,0.399,0.133,0.592,0.24,0.121,0.191,8
F,0.405,0.324,0.113,0.362,0.149,0.072,0.106,12
I,0.587,0.437,0.158,0.816,0.35,0.179,0.254,13
M,0.561,0.435,0.167,0.956,0.34,0.173,0.364,19
F,0.457,0.343,0.115,0.465,0.194,0.086,0.134,12
F,0.631,0.484,0.162,1.227,0.57,0.284,0.294,11
M,0.349,0.284,0.098,0.202,0.065,0.054,0.073,9
I,0.495,0.379,0.125,0.505,0.21,0.12,0.174,10
F,0.663,0.511,0.193,1.298,0.579,0.236,0.406,15
M,0.581,0.422,0.194,1.454,0.586,0.344,0.39,10
I,0.462,0.347,0.132,0.49,0.217,0.089,0.145,8
I,0.569,0.466,0.152,0.763,0.277,0.217,0.221,10
M,0.602,0.484,0.162,1.061,0.388,0.167,0.341,19
M,0.613,0.451,0.123,1.056,0.391,0.204,0.251,16
F,0.53,0.423,0.154,0.741,0.289,0.179,0.24,12
M,0.637,0.529,0.188,1.355,0.514,0.321,0.466,16
I,0.159,0.116,0.015,0.014,0.006,0.003,0.005,4
F,0.665,0.489,0.171,1.382,0.545,0.283,0.397,9
M,0.407,0.305,0.097,0.316,0.127,0.058,0.099,11
F,0.431,0.31,0.115,0.363,0.152,0.091,0.129,11
M,0.16,0.11,0.025,0.025,0.009,0.005,0.008,5
F,0.567,0.475,0.144,0.864,0.366,0.175,0.289,9
M,0.639,0.542,0.159,1.247,0.491,0.311,0.348,11
M,0.595,0.457,0.183,1.181,0.527,0.288,0.306,10
M,0.633,0.524,0.214,1.55,0.675,0.296,0.595,15
M,0.67,0.554,0.189,1.837,0.803,0.371,0.417,11
M,0.663,0.514,0.167,1.369,0.589,0.263,0.456,11
M,0.627,0.504,0.149,1.272,0.555,0.288,0.324,11
F,0.649,0.499,0.173,1.26,0.495,0.25,0.413,10
M,0.642,0.472,0.153,1.269,0.612,0.271,0.295,10
I,0.312,0.212,0.062,0.129,0.059,0.025,0.031,5
M,0.638,0.512,0.18,1.34,0.638,0.296,0.367,14
M,0.543,0.402,0.143,0.785,0.365,0.184,0.188,9
I,0.409,0.31,0.1,0.326,0.178,0.05,0.09,8
F,0.366,0.29,0.115,0.238,0.109,0.055,0.073,9
M,0.534,0.402,0.163,0.823,0.267,0.194,0.256,13
I,0.497,0.383,0.112,0.465,0.21,0.096,0.139,8
M,0.523,0.41,0.144,0.741,0.294,0.133,0.204,7
M,0.492,0.388,0.142,0.587,0.253,0.131,0.204,9
M,0.464,0.34,0.139,0.561,0.201,0.144,0.198,15
F,0.612,0.503,0.186,1.363,0.508,0.308,0.401,16
I,0.421,0.311,0.102,0.289,0.109,0.062,0.089,8
I,0.389,0.304,0.098,0.278,0.143,0.06,0.083,7
F,0.643,0.509,0.185,1.258,0.568,0.261,0.315,10
I,0.506,0.385,0.145,0.648,0.281,0.153,0.201,15
M,0.592,0.423,0.135,0.807,0.345,0.184,0.215,9
I,0.48,0.349,0.113,0.393,0.18,0.076,0.121,8
I,0.502,0.379,0.148,0.604,0.287,0.134,0.179,13
F,0.607,0.501,0.143,1.105,0.551,0.27,0.285,10
I,0.424,0.336,0.13,0.48,0.179,0.092,0.193,12
F,0.599,0.481,0.145,0.942,0.405,0.194,0.308,9
M,0.561,0.445,0.158,1.165,0.557,0.233,0.287,10
M,0.451,0.361,0.139,0.505,0.229,0.156,0.151,10
M,0.645,0.482,0.225,1.589,0.542,0.342,0.436,15
F,0.383,0.331,0.115,0.342,0.146,0.095,0.101,8
I,0.447,0.38,0.122,0.44,0.216,0.1,0.127,8
I,0.351,0.271,0.097,0.191,0.074,0.053,0.069,6
I,0.457,0.351,0.134,0.5,0.207,0.136,0.112,13
M,0.598,0.489,0.178,1.129,0.45,0.277,0.338,10
M,0.587,0.469,0.194,1.17,0.594,0.248,0.251,10
M,0.732,0.593,0.214,2.299,1.164,0.462,0.522,10
M,0.564,0.411,0.123,0.829,0.303,0.152,0.203,10
M,0.457,0.356,0.144,0.63,0.197,0.147,0.186,16
M,0.54,0.424,0.181,1.149,0.411,0.202,0.363,20
M,0.795,0.611,0.253,2.76,1.37,0.794,0.556,12
F,0.688,0.536,0.187,1.343,0.478,0.326,0.49,15
I,0.425,0.322,0.115,0.379,0.164,0.071,0.121,7
F,0.631,0.484,0.204,1.494,0.656,0.32,0.359,11
M,0.15,0.107,0.038,0.015,0.006,0.003,0.005,3
F,0.603,0.445,0.153,1.109,0.491,0.277,0.256,10
I,0.442,0.344,0.101,0.337,0.125,0.072,0.11,7
F,0.601,0.428,0.144,0.915,0.489,0.198,0.216,7
M,0.648,0.5,0.172,1.145,0.511,0.222,0.345,9
F,0.711,0.541,0.167,1.501,0.634,0.313,0.425,11
I,0.383,0.299,0.12,0.283,0.089,0.076,0.086,8
F,0.362,0.326,0.113,0.301,0.117,0.077,0.102,10
F,0.585,0.449,0.144,1.003,0.426,0.219,0.278,9
M,0.671,0.494,0.189,1.52,0.577,0.345,0.477,9
F,0.736,0.499,0.178,1.607,0.674,0.393,0.398,11
I,0.494,0.405,0.157,0.769,0.293,0.164,0.242,13
F,0.351,0.246,0.093,0.207,0.079,0.057,0.055,6
I,0.374,0.264,0.089,0.207,0.1,0.04,0.061,6
I,0.417,0.312,0.091,0.319,0.149,0.072,0.087,8
I,0.423,0.328,0.113,0.363,0.156,0.083,0.122,7
I,0.588,0.428,0.131,0.871,0.331,0.173,0.285,11
F,0.527,0.415,0.168,0.723,0.298,0.171,0.202,10
I,0.525,0.389,0.127,0.687,0.292,0.127,0.184,9
F,0.654,0.487,0.142,1.033,0.493,0.225,0.313,8
F,0.473,0.367,0.129,0.572,0.194,0.126,0.175,10
M,0.469,0.383,0.174,0.529,0.197,0.134,0.156,9
M,0.681,0.493,0.193,1.516,0.687,0.394,0.42,10
F,0.684,0.522,0.219,1.913,0.885,0.394,0.43,10
I,0.36,0.267,0.086,0.212,0.097,0.04,0.061,7
F,0.585,0.45,0.202,1.073,0.388,0.198,0.283,16
M,0.719,0.534,0.172,1.799,0.986,0.409,0.448,11
F,0.682,0.519,0.179,1.529,0.652,0.346,0.423,10
F,0.578,0.458,0.177,1.147,0.478,0.228,0.343,9
M,0.336,0.227,0.088,0.157,0.064,0.034,0.055,10
M,0.611,0.482,0.16,1.305,0.419,0.243,0.599,21
F,0.608,0.463,0.159,1.123,0.52,0.264,0.27,10
M,0.34,0.28,0.092,0.244,0.092,0.064,0.079,11
F,0.444,0.35,0.124,0.454,0.161,0.103,0.14,16
I,0.44,0.347,0.11,0.422,0.189,0.082,0.133,7
M,0.504,0.401,0.139,0.705,0.329,0.161,0.175,11
M,0.631,0.486,0.205,1.169,0.594,0.224,0.367,10
I,0.578,0.45,0.149,0.675,0.274,0.163,0.228,11
M,0.48,0.454,0.131,0.499,0.226,0.125,0.143,7
M,0.581,0.449,0.156,1.247,0.47,0.39,0.256,10
F,0.675,0.508,0.166,1.781,0.794,0.406,0.468,12
M,0.495,0.366,0.103,0.526,0.243,0.102,0.132,8
F,0.698,0.583,0.178,1.555,0.708,0.299,0.414,13
F,0.685,0.5,0.188,1.558,0.67,0.231,0.446,14
F,0.529,0.409,0.121,0.651,0.253,0.174,0.218,12
I,0.453,0.352,0.122,0.419,0.199,0.111,0.117,6
F,0.562,0.438,0.157,0.933,0.351,0.246,0.279,8
I,0.502,0.374,0.136,0.523,0.234,0.09,0.14,8
F,0.518,0.402,0.121,0.552,0.25,0.129,0.177,10
I,0.327,0.229,0.075,0.181,0.085,0.044,0.051,6
I,0.382,0.285,0.084,0.265,0.112,0.056,0.068,6
F,0.467,0.382,0.133,0.555,0.235,0.141,0.165,12
M,0.472,0.376,0.124,0.531,0.216,0.119,0.149,9
I,0.576,0.41,0.127,0.608,0.288,0.149,0.174,8
I,0.496,0.385,0.148,0.747,0.426,0.147,0.193,7
I,0.27,0.192,0.063,0.109,0.045,0.021,0.029,7
M,0.565,0.431,0.173,0.801,0.332,0.163,0.231,11
F,0.548,0.386,0.143,0.783,0.333,0.209,0.215,13
I,0.385,0.278,0.087,0.271,0.133,0.044,0.078,8
F,0.723,0.544,0.171,1.745,0.621,0.327,0.5,16
M,0.492,0.412,0.16,0.714,0.251,0.137,0.295,14
M,0.697,0.523,0.166,1.5,0.736,0.358,0.396,11
I,0.375,0.27,0.098,0.228,0.08,0.05,0.086,10
F,0.676,0.565,0.157,1.249,0.518,0.292,0.428,10
I,0.401,0.295,0.089,0.335,0.161,0.072,0.088,7
F,0.645,0.476,0.213,1.509,0.601,0.378,0.45,11
I,0.322,0.259,0.084,0.184,0.095,0.03,0.054,6
I,0.504,0.37,0.131,0.54,0.238,0.134,0.15,8
I,0.477,0.35,0.101,0.474,0.212,0.102,0.108,7
F,0.561,0.44,0.149,0.982,0.437,0.219,0.252,18
M,0.571,0.428,0.132,0.847,0.237,0.202,0.297,10
M,0.642,0.495,0.189,1.399,0.755,0.282,0.338,10
M,0.632,0.522,0.23,1.56,0.542,0.318,0.713,18
M,0.551,0.464,0.176,0.935,0.409,0.189,0.219,7
F,0.674,0.514,0.198,1.251,0.764,0.411,0.445,12
I,0.383,0.273,0.09,0.222,0.102,0.043,0.067,5
I,0.527,0.43,0.149,0.733,0.335,0.168,0.216,11
I,0.436,0.357,0.134,0.431,0.205,0.086,0.116,13
I,0.397,0.301,0.094,0.25,0.124,0.043,0.068,5
M,0.607,0.441,0.144,0.966,0.508,0.222,0.289,10
I,0.524,0.39,0.124,0.563,0.213,0.106,0.183,9
I,0.653,0.424,0.176,1.46,0.589,0.311,0.397,12
I,0.51,0.374,0.131,0.684,0.276,0.16,0.2,11
M,0.593,0.458,0.159,0.894,0.402,0.196,0.283,10
M,0.62,0.456,0.144,1.106,0.541,0.268,0.294,11
F,0.499,0.388,0.146,0.782,0.252,0.136,0.232,22
M,0.56,0.445,0.182,0.882,0.347,0.165,0.386,16
F,0.587,0.454,0.151,0.757,0.355,0.187,0.254,10
F,0.515,0.381,0.129,0.644,0.295,0.152,0.174,8
M,0.517,0.439,0.128,0.719,0.366,0.182,0.183,8
I,0.626,0.496,0.164,1.046,0.433,0.253,0.333,12
F,0.717,0.534,0.199,1.898,0.569,0.37,0.592,13
M,0.603,0.518,0.172,1.133,0.486,0.228,0.353,9
M,0.679,0.548,0.183,1.602,0.836,0.352,0.428,10
I,0.39,0.294,0.107,0.296,0.119,0.062,0.09,8
M,0.734,0.6,0.219,2.235,0.771,0.513,0.658,13
M,0.627,0.474,0.192,1.042,0.399,0.195,0.373,25
I,0.396,0.294,0.105,0.247,0.111,0.04,0.086,6
I,0.438,0.363,0.105,0.447,0.221,0.096,0.135,7
M,0.435,0.334,0.144,0.44,0.161,0.073,0.145,14
M,0.299,0.224,0.082,0.133,0.056,0.025,0.045,10
M,0.604,0.484,0.15,0.931,0.344,0.211,0.257,12
M,0.512,0.385,0.114,0.642,0.303,0.155,0.187,9
F,0.667,0.492,0.194,1.191,0.436,0.274,0.371,13
M,0.579,0.435,0.177,1.06,0.439,0.209,0.311,14
I,0.189,0.148,0.043,0.039,0.018,0.006,0.011,3
I,0.452,0.429,0.113,0.427,0.185,0.094,0.125,8
I,0.511,0.402,0.154,0.76,0.297,0.204,0.265,13
F,0.613,0.476,0.166,1.12,0.461,0.283,0.34,10
I,0.442,0.337,0.114,0.492,0.25,0.066,0.134,8
I,0.585,0.412,0.125,0.636,0.275,0.145,0.214,9
M,0.56,0.439,0.161,0.856,0.334,0.193,0.262,10
I,0.336,0.265,0.09,0.189,0.091,0.041,0.056,7
M,0.692,0.588,0.199,2.334,1.053,0.411,0.643,12
F,0.661,0.462,0.194,1.408,0.676,0.295,0.334,12
I,0.46,0.304,0.094,0.335,0.149,0.09,0.084,7
M,0.413,0.321,0.102,0.365,0.14,0.073,0.109,9
I,0.464,0.333,0.1,0.442,0.157,0.076,0.166,13
M,0.703,0.542,0.21,1.473,0.555,0.34,0.451,14
F,0.521,0.375,0.131,0.613,0.23,0.137,0.202,16
I,0.318,0.236,0.078,0.177,0.077,0.046,0.048,5
I,0.482,0.375,0.13,0.543,0.254,0.128,0.163,7
I,0.535,0.375,0.148,0.615,0.298,0.115,0.166,8
F,0.632,0.477,0.154,1.045,0.436,0.282,0.299,10
M,0.294,0.22,0.081,0.13,0.04,0.028,0.041,8
M,0.685,0.596,0.223,1.869,0.899,0.46,0.494,11
M,0.549,0.413,0.126,0.638,0.298,0.148,0.176,7
M,0.545,0.419,0.139,0.842,0.363,0.164,0.299,8
I,0.475,0.362,0.109,0.435,0.187,0.102,0.129,8
F,0.719,0.588,0.199,1.776,0.815,0.491,0.509,11
I,0.599,0.444,0.158,0.963,0.414,0.178,0.343,14
M,0.579,0.472,0.139,0.991,0.404,0.227,0.274,10
F,0.496,0.411,0.173,0.862,0.367,0.229,0.262,13
M,0.727,0.528,0.209,1.874,0.906,0.434,0.504,13
F,0.552,0.468,0.166,1.094,0.543,0.224,0.249,10
I,0.186,0.136,0.029,0.033,0.012,0.005,0.011,3
I,0.454,0.349,0.141,0.546,0.274,0.083,0.131,7
F,0.695,0.593,0.197,1.581,0.687,0.345,0.459,10
M,0.634,0.506,0.159,1.269,0.636,0.315,0.316,9
F,0.701,0.601,0.193,1.815,0.805,0.412,0.481,11
F,0.573,0.469,0.151,0.952,0.408,0.225,0.259,11
I,0.37,0.292,0.097,0.243,0.102,0.058,0.069,6
M,0.617,0.491,0.167,1.222,0.646,0.213,0.31,9
F,0.719,0.592,0.204,2.186,1.004,0.491,0.531,10
I,0.479,0.368,0.106,0.495,0.208,0.105,0.144,8
M,0.324,0.265,0.092,0.21,0.074,0.043,0.07,10
F,0.446,0.363,0.105,0.509,0.24,0.119,0.146,8
F,0.544,0.433,0.124,0.731,0.339,0.199,0.209,8
F,0.541,0.415,0.126,0.685,0.308,0.166,0.185,8
I,0.364,0.284,0.104,0.229,0.107,0.058,0.067,8
M,0.701,0.57,0.212,2.215,1.091,0.386,0.536,11
I,0.436,0.331,0.112,0.37,0.157,0.082,0.105,6
M,0.363,0.292,0.087,0.314,0.129,0.09,0.089,9
F,0.57,0.477,0.153,0.998,0.471,0.271,0.302,9
M,0.599,0.497,0.169,1.123,0.529,0.255,0.275,9
F,0.646,0.511,0.169,1.666,0.497,0.404,0.623,12
F,0.573,0.482,0.155,0.99,0.488,0.243,0.293,11
F,0.706,0.556,0.207,2.111,0.714,0.437,0.59,13
M,0.619,0.492,0.165,1.143,0.447,0.259,0.386,12
M,0.605,0.48,0.146,0.987,0.448,0.206,0.273,10
F,0.604,0.47,0.162,0.977,0.449,0.251,0.257,10
F,0.553,0.437,0.148,1.048,0.479,0.21,0.358,8
I,0.522,0.398,0.115,0.636,0.32,0.129,0.166,7
M,0.609,0.449,0.168,1.099,0.509,0.232,0.318,9
M,0.626,0.485,0.198,1.56,0.555,0.342,0.524,15
F,0.654,0.472,0.168,1.403,0.493,0.314,0.502,18
F,0.597,0.425,0.147,1.049,0.489,0.201,0.279,9
M,0.564,0.449,0.173,1.147,0.538,0.273,0.282,10
I,0.213,0.146,0.051,0.045,0.016,0.012,0.013,6
M,0.583,0.426,0.161,0.897,0.353,0.248,0.308,13
F,0.595,0.477,0.169,1.162,0.297,0.185,0.461,13
F,0.535,0.417,0.141,0.705,0.245,0.149,0.211,9
M,0.575,0.468,0.188,1.119,0.404,0.265,0.368,10
F,0.633,0.515,0.163,1.189,0.545,0.241,0.33,11
M,0.538,0.446,0.145,0.969,0.415,0.21,0.3,10
M,0.43,0.324,0.114,0.374,0.14,0.104,0.101,9
F,0.368,0.295,0.107,0.297,0.129,0.057,0.102,7
I,0.505,0.403,0.125,0.605,0.254,0.143,0.183,7
M,0.47,0.377,0.161,0.949,0.434,0.24,0.237,9
M,0.604,0.422,0.156,0.812,0.327,0.209,0.253,9
M,0.714,0.536,0.181,1.552,0.744,0.312,0.517,12
I,0.386,0.258,0.096,0.207,0.098,0.047,0.063,6
F,0.632,0.506,0.168,1.059,0.45,0.199,0.393,11
F,0.472,0.375,0.118,0.47,0.209,0.103,0.153,10
M,0.589,0.439,0.149,0.986,0.407,0.266,0.257,10
M,0.572,0.428,0.152,1.068,0.525,0.209,0.277,10
I,0.681,0.542,0.186,1.686,0.626,0.386,0.409,16
M,0.626,0.431,0.162,1.088,0.565,0.216,0.309,10
M,0.569,0.395,0.148,0.815,0.273,0.194,0.263,12
I,0.373,0.293,0.096,0.276,0.12,0.066,0.089,7
M,0.406,0.3,0.108,0.35,0.18,0.085,0.102,9
M,0.61,0.507,0.158,1.051,0.541,0.192,0.329,10
I,0.484,0.407,0.168,0.703,0.367,0.145,0.177,8
F,0.651,0.518,0.183,1.518,0.764,0.32,0.358,9
I,0.566,0.426,0.141,0.702,0.357,0.157,0.213,8
I,0.522,0.402,0.146,0.685,0.307,0.153,0.171,7
I,0.477,0.391,0.144,0.53,0.202,0.12,0.172,8
F,0.703,0.514,0.154,1.447,0.508,0.333,0.362,12
I,0.538,0.415,0.144,0.674,0.29,0.157,0.206,8
I,0.453,0.326,0.15,0.434,0.198,0.089,0.125,7
I,0.509,0.421,0.128,0.639,0.25,0.133,0.208,9
F,0.586,0.44,0.146,0.809,0.423,0.176,0.227,8
M,0.488,0.383,0.102,0.563,0.248,0.123,0.156,9
I,0.285,0.205,0.073,0.099,0.04,0.029,0.03,6
F,0.617,0.482,0.14,1.091,0.532,0.269,0.274,9
M,0.724,0.589,0.202,1.969,0.997,0.338,0.513,12
M,0.635,0.551,0.229,2.15,0.726,0.384,0.915,27
I,0.365,0.298,0.087,0.229,0.11,0.039,0.083,8
M,0.62,0.499,0.153,1.138,0.516,0.236,0.322,11
F,0.585,0.453,0.163,0.947,0.329,0.193,0.293,14
M,0.5,0.394,0.123,0.637,0.28,0.134,0.154,9
M,0.524,0.43,0.154,0.648,0.246,0.146,0.26,13
M,0.631,0.493,0.179,1.267,0.517,0.247,0.307,11
M,0.414,0.305,0.131,0.431,0.195,0.09,0.115,9
M,0.609,0.465,0.156,1.062,0.42,0.199,0.311,20
M,0.61,0.483,0.165,1.132,0.43,0.217,0.301,15
M,0.612,0.487,0.146,1.144,0.692,0.239,0.224,10
F,0.504,0.365,0.126,0.527,0.256,0.106,0.166,10
F,0.546,0.407,0.118,0.704,0.312,0.201,0.204,15
M,0.596,0.507,0.153,1.074,0.448,0.219,0.325,10
I,0.158,0.117,0.02,0.019,0.007,0.004,0.005,4
F,0.625,0.466,0.145,0.913,0.448,0.187,0.239,9
M,0.434,0.339,0.126,0.447,0.216,0.1,0.131,8
M,0.528,0.449,0.164,0.875,0.333,0.216,0.308,14
F,0.563,0.447,0.192,0.979,0.426,0.263,0.274,15
M,0.76,0.573,0.18,2.497,1.174,0.503,0.526,12
F,0.45,0.388,0.126,0.633,0.311,0.148,0.167,11
M,0.26,0.197,0.065,0.099,0.046,0.027,0.031,6
M,0.545,0.412,0.128,0.756,0.366,0.178,0.199,8
I,0.46,0.316,0.137,0.794,0.419,0.172,0.215,8
M,0.593,0.499,0.204,1.216,0.396,0.259,0.381,15
I,0.161,0.102,0.049,0.018,0.005,0.004,0.005,4
M,0.509,0.388,0.144,0.637,0.253,0.199,0.155,9
I,0.341,0.255,0.083,0.173,0.066,0.038,0.059,8
M,0.716,0.623,0.239,2.099,0.792,0.393,0.585,10
F,0.476,0.335,0.119,0.436,0.159,0.089,0.128,9
M,0.632,0.444,0.138,1.027,0.412,0.204,0.31,13
M,0.629,0.484,0.197,1.243,0.601,0.322,0.373,13
F,0.567,0.412,0.166,0.782,0.383,0.161,0.223,9
I,0.247,0.191,0.063,0.087,0.038,0.021,0.024,5
M,0.608,0.471,0.152,0.905,0.443,0.211,0.215,10
F,0.678,0.471,0.169,1.346,0.606,0.342,0.316,9
I,0.543,0.434,0.13,0.673,0.4,0.107,0.169,9
M,0.61,0.447,0.138,1.039,0.514,0.282,0.263,10
I,0.611,0.472,0.153,0.889,0.36,0.172,0.306,11
I,0.327,0.257,0.104,0.167,0.063,0.034,0.06,7
F,0.503,0.376,0.125,0.804,0.272,0.096,0.282,13
M,0.307,0.251,0.072,0.15,0.061,0.036,0.05,11
M,0.555,0.417,0.132,0.892,0.285,0.155,0.318,14
F,0.629,0.476,0.181,1.209,0.444,0.309,0.382,20
M,0.56,0.427,0.144,0.988,0.605,0.18,0.209,8
M,0.443,0.326,0.121,0.434,0.22,0.131,0.106,6
F,0.701,0.591,0.202,1.747,0.791,0.438,0.465,11
M,0.488,0.405,0.136,0.649,0.253,0.127,0.241,12
M,0.531,0.374,0.139,0.666,0.329,0.136,0.177,9
F,0.708,0.486,0.172,1.375,0.655,0.296,0.354,12
M,0.566,0.467,0.15,0.836,0.334,0.205,0.244,8
F,0.653,0.529,0.17,1.417,0.554,0.311,0.398,10
F,0.601,0.502,0.156,1.015,0.397,0.282,0.309,16
F,0.58,0.453,0.157,1.024,0.442,0.264,0.312,10
F,0.705,0.535,0.198,1.6,0.872,0.3,0.406,9
I,0.341,0.296,0.1,0.238,0.091,0.046,0.073,6
M,0.565,0.422,0.116,0.793,0.438,0.137,0.189,9
M,0.604,0.478,0.182,1.22,0.43,0.285,0.412,13
F,0.692,0.517,0.188,1.318,0.53,0.275,0.476,11
M,0.658,0.497,0.18,1.406,0.577,0.243,0.443,11
I,0.428,0.333,0.151,0.524,0.199,0.099,0.172,15
M,0.519,0.405,0.149,0.971,0.506,0.175,0.225,8
M,0.508,0.439,0.13,0.752,0.288,0.156,0.229,9
I,0.436,0.369,0.107,0.455,0.206,0.097,0.13,8
F,0.443,0.376,0.115,0.482,0.191,0.114,0.159,10
F,0.618,0.491,0.169,1.209,0.564,0.325,0.32,9
F,0.617,0.452,0.148,1.037,0.472,0.205,0.266,10
M,0.412,0.292,0.083,0.305,0.11,0.073,0.104,10
I,0.396,0.304,0.091,0.316,0.133,0.086,0.079,6
F,0.687,0.509,0.183,1.734,0.732,0.331,0.489,12
F,0.314,0.228,0.076,0.155,0.071,0.034,0.05,7
I,0.534,0.416,0.142,0.897,0.371,0.182,0.268,21
F,0.706,0.62,0.192,2.064,0.576,0.391,0.677,16
I,0.397,0.326,0.103,0.336,0.152,0.058,0.103,10
M,0.542,0.432,0.15,0.864,0.322,0.253,0.26,13
F,0.674,0.531,0.182,1.635,0.696,0.381,0.417,9
M,0.626,0.457,0.172,1.082,0.539,0.27,0.29,7
I,0.341,0.249,0.077,0.173,0.057,0.037,0.065,7
F,0.658,0.484,0.175,1.417,0.613,0.29,0.32,6
F,0.556,0.425,0.159,0.885,0.401,0.224,0.222,9
F,0.627,0.479,0.155,1.067,0.507,0.268,0.315,10
I,0.431,0.35,0.098,0.339,0.133,0.065,0.11,8
M,0.625,0.462,0.224,1.101,0.419,0.236,0.372,16
I,0.567,0.444,0.141,0.954,0.432,0.178,0.273,10
F,0.525,0.471,0.146,0.984,0.529,0.194,0.264,7
F,0.447,0.367,0.131,0.644,0.264,0.139,0.183,8
I,0.331,0.257,0.09,0.183,0.076,0.033,0.054,6
I,0.459,0.32,0.102,0.369,0.161,0.078,0.111,7
I,0.516,0.422,0.158,0.611,0.211,0.145,0.265,15
M,0.637,0.505,0.152,1.554,0.661,0.371,0.434,11
F,0.683,0.595,0.201,2.025,1.041,0.476,0.494,12
M,0.501,0.404,0.125,0.649,0.288,0.134,0.172,10
M,0.598,0.497,0.188,1.34,0.616,0.313,0.344,14
M,0.527,0.392,0.137,0.829,0.24,0.161,0.248,10
M,0.577,0.48,0.187,1.227,0.509,0.244,0.327,10
M,0.654,0.507,0.178,1.344,0.606,0.259,0.381,9
I,0.439,0.326,0.139,0.406,0.155,0.098,0.114,6
F,0.73,0.557,0.221,1.623,0.638,0.435,0.459,11
I,0.48,0.382,0.117,0.546,0.266,0.109,0.133,6
M,0.645,0.505,0.199,1.7,0.834,0.349,0.363,11
M,0.546,0.452,0.137,0.733,0.331,0.132,0.228,12
M,0.477,0.333,0.103,0.463,0.23,0.102,0.126,9
M,0.546,0.416,0.151,0.865,0.316,0.193,0.259,16
I,0.53,0.38,0.116,0.675,0.331,0.13,0.188,11
F,0.508,0.398,0.148,0.792,0.304,0.17,0.264,7
F,0.486,0.388,0.127,0.647,0.259,0.133,0.229,10
F,0.682,0.558,0.19,1.55,0.674,0.317,0.484,15
M,0.505,0.379,0.17,0.778,0.36,0.183,0.174,10
I,0.299,0.21,0.062,0.108,0.051,0.019,0.031,5
I,0.47,0.38,0.115,0.574,0.3,0.123,0.134,8
F,0.615,0.512,0.174,1.329,0.568,0.354,0.302,9
M,0.423,0.363,0.143,0.441,0.163,0.069,0.182,16
M,0.578,0.429,0.134,0.895,0.488,0.194,0.194,9
M,0.375,0.304,0.099,0.262,0.102,0.052,0.075,8
M,0.61,0.496,0.175,1.15,0.419,0.262,0.415,16
I,0.492,0.389,0.126,0.56,0.223,0.133,0.199,9
M,0.66,0.536,0.166,1.686,0.672,0.302,0.419,11
F,0.506,0.354,0.15,0.891,0.425,0.209,0.28,7
M,0.428,0.311,0.105,0.317,0.132,0.073,0.114,7
F,0.69,0.529,0.171,1.677,0.722,0.328,0.317,11
I,0.262,0.209,0.052,0.084,0.029,0.019,0.03,6
M,0.358,0.264,0.09,0.227,0.083,0.052,0.072,6
M,0.569,0.398,0.157,0.889,0.374,0.246,0.29,18
M,0.74,0.583,0.229,2.287,1.211,0.425,0.541,15
F,0.625,0.513,0.189,1.136,0.54,0.207,0.165,10
M,0.789,0.594,0.193,2.446,1.078,0.656,0.66,12
M,0.642,0.501,0.197,1.413,0.663,0.305,0.349,8
I,0.168,0.127,0.042,0.027,0.009,0.008,0.009,4
M,0.609,0.45,0.171,1.048,0.484,0.227,0.315,11
M,0.498,0.35,0.117,0.532,0.246,0.093,0.153,8
F,0.528,0.449,0.145,0.884,0.382,0.195,0.239,12
F,0.591,0.506,0.199,1.397,0.476,0.269,0.407,15
M,0.47,0.362,0.107,0.479,0.188,0.081,0.189,10
M,0.46,0.358,0.125,0.498,0.219,0.136,0.144,8
M,0.555,0.427,0.131,0.868,0.385,0.192,0.282,9
I,0.421,0.326,0.132,0.525,0.177,0.087,0.193,16
M,0.362,0.269,0.099,0.212,0.087,0.043,0.082,10
F,0.494,0.334,0.188,0.706,0.307,0.165,0.2,11
M,0.502,0.385,0.138,0.618,0.243,0.13,0.165,8
M,0.732,0.575,0.173,1.8,0.954,0.393,0.457,11
I,0.168,0.128,0.058,0.032,0.011,0.007,0.012,5
M,0.587,0.493,0.187,0.93,0.405,0.208,0.294,15
F,0.626,0.48,0.219,1.418,0.652,0.326,0.419,13
M,0.281,0.225,0.074,0.106,0.04,0.022,0.037,5
F,0.41,0.321,0.118,0.387,0.142,0.109,0.108,11
M,0.601,0.479,0.142,1.1,0.513,0.174,0.328,12
I,0.444,0.337,0.112,0.35,0.153,0.07,0.119,8
F,0.522,0.428,0.13,0.85,0.41,0.202,0.249,8
I,0.53,0.428,0.125,0.8,0.367,0.166,0.255,11
F,0.463,0.395,0.135,0.536,0.194,0.138,0.179,14
M,0.669,0.507,0.198,1.522,0.732,0.355,0.4,14
F,0.64,0.562,0.177,1.346,0.558,0.292,0.32,14
I,0.314,0.262,0.087,0.166,0.075,0.034,0.058,8
M,0.625,0.472,0.19,1.568,0.598,0.425,0.454,12
M,0.554,0.438,0.151,0.823,0.299,0.165,0.261,16
